id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-2775000000,15951,32,-0.0791997736961061,0.33408563726412105,-13.317763910659338,3.1328841073768636,-9.022613517626368
contig-281000000,24875,32,-0.0820264755873215,0.326552763819095,-14.095386204378306,2.2608242791897317,-9.413815526612808
contig-284000000,24581,71,-0.0842916106333467,0.656441967373174,15.984610384724919,-3.2923301357605546,-2.007750483368319
contig-285000000,24741,41,-0.0716072281129297,0.39266804090376295,-10.936766507632527,-4.870002009959902,7.0339900648369165
contig-286000000,32639,71,-0.0860073234741018,0.663776463739698,16.547380333794575,-3.4825535564487753,-2.1458765761581198
contig-289000000,24218,61,-0.0667688848703525,0.506111156990668,2.0046980966960484,4.618302082394532,0.04582018459792318
contig-291000000,24220,71,-0.0820430700777217,0.646696944673823,15.15563186896562,-3.5268974959344495,-1.883830256612452
contig-292000000,24208,61,-0.0671913032148648,0.520447785855915,2.648542840657427,4.06283274178589,-0.16509177842581896
contig-2928000000,26268,71,-0.0871992160345196,0.6669712197350389,16.82898290602967,-3.785664608932356,-2.7823292343137793
contig-297000000,24002,71,-0.0848400877082227,0.6561536538621779,16.229639335395017,-4.617059098024992,-2.335534356618182
contig-298000000,23971,61,-0.0677487030715892,0.522923532601894,3.0642867344308775,4.527325663529641,-0.015126277871013881
contig-3000000,169187,51,-0.0689044564342347,0.44177153090958504,-4.996395598796959,2.478886634631324,1.7335793730558617
contig-30000000,82274,51,-0.0695533653539065,0.44167051559423404,-4.712086958891536,3.216878827442283,0.8905268487142829
contig-304000000,23410,61,-0.0670551147241615,0.515719777872704,2.6521320580359795,4.154461959435042,-0.17388671516739357
contig-309000000,23281,32,-0.0792331052860253,0.33628280572140395,-13.47369485637627,3.1093617761719856,-8.554335115079276
contig-3093000000,225183,51,-0.0688536227071928,0.448430831812348,-4.0393836022175265,3.0857368724022356,1.5491583673723712
contig-31000000,76534,31,-0.079701671548881,0.32884730969242404,-16.16324625933287,-3.830016215695237,-5.419705166290467
contig-314000000,22997,11,-0.0730007517210091,0.544810192633822,5.452883518980587,8.226323279376333,3.4416461816953676
contig-315000000,52704,32,-0.0805787581928784,0.327413479052823,-13.994773652173247,2.2729373364931242,-9.482133906989072
contig-316000000,22923,61,-0.0676948466086714,0.522357457575361,2.934506363940506,4.314837722759434,0.15147628015961367
contig-317000000,22901,61,-0.0669588861751464,0.504606785729881,1.3498535477410114,4.112927070866575,0.7061726746776918
contig-32000000,76496,51,-0.069149459412677,0.43819284668479397,-4.9708810639095375,3.4971359380363296,0.6883150173972976
